dataset;estructura_de_datos;clave;cantidad_consultas;memoria_bytes
auspol2019;hash_abierto;user_id;10000;286328
auspol2019;hash_abierto;user_id;20000;536504
auspol2019;hash_abierto;user_id;30000;646640
auspol2019;hash_abierto;user_id;40000;717824
auspol2019;hash_abierto;user_id;50000;784280
auspol2019;hash_abierto;user_id;60000;1064128
auspol2019;hash_abierto;user_id;70000;1118512
auspol2019;hash_abierto;user_id;80000;1176232
auspol2019;hash_abierto;user_id;90000;1208656
auspol2019;hash_abierto;user_id;100000;1234864
auspol2019;hash_abierto;user_id;110000;1255192
auspol2019;hash_abierto;user_id;120000;1273912
auspol2019;hash_abierto;user_id;130000;1290712
auspol2019;hash_abierto;user_id;140000;1303072
auspol2019;hash_abierto;user_id;150000;1346704
auspol2019;hash_abierto;user_id;160000;1416976
auspol2019;hash_abierto;user_id;170000;1464256
auspol2019;hash_abierto;user_id;180000;1490200
auspol2019;hash_abierto;screen_name;10000;469832
auspol2019;hash_abierto;screen_name;20000;867272
auspol2019;hash_abierto;screen_name;30000;1087544
auspol2019;hash_abierto;screen_name;40000;1229912
auspol2019;hash_abierto;screen_name;50000;1362824
auspol2019;hash_abierto;screen_name;60000;1716760
auspol2019;hash_abierto;screen_name;70000;1825528
auspol2019;hash_abierto;screen_name;80000;1940968
auspol2019;hash_abierto;screen_name;90000;2005816
auspol2019;hash_abierto;screen_name;100000;2058232
auspol2019;hash_abierto;screen_name;110000;2098888
auspol2019;hash_abierto;screen_name;120000;2136328
auspol2019;hash_abierto;screen_name;130000;2169928
auspol2019;hash_abierto;screen_name;140000;2194648
auspol2019;hash_abierto;screen_name;150000;2281912
auspol2019;hash_abierto;screen_name;160000;2422456
auspol2019;hash_abierto;screen_name;170000;2517016
auspol2019;hash_abierto;screen_name;180000;2568904
auspol2019;hash_cerrado_linear;user_id;10000;411472
auspol2019;hash_cerrado_linear;user_id;20000;822992
auspol2019;hash_cerrado_linear;user_id;30000;822992
auspol2019;hash_cerrado_linear;user_id;40000;822992
auspol2019;hash_cerrado_linear;user_id;50000;822992
auspol2019;hash_cerrado_linear;user_id;60000;1646032
auspol2019;hash_cerrado_linear;user_id;70000;1646032
auspol2019;hash_cerrado_linear;user_id;80000;1646032
auspol2019;hash_cerrado_linear;user_id;90000;1646032
auspol2019;hash_cerrado_linear;user_id;100000;1646032
auspol2019;hash_cerrado_linear;user_id;110000;1646032
