numero_experimento;dataset;estructura_de_datos;clave;cantidad_consultas;tiempo_ejecucion
1;auspol2019;hash_abierto;user_id;10000;0.001839100
1;auspol2019;hash_abierto;user_id;20000;0.005374200
1;auspol2019;hash_abierto;user_id;30000;0.005927200
1;auspol2019;hash_abierto;user_id;40000;0.006380900
1;auspol2019;hash_abierto;user_id;50000;0.006805300
1;auspol2019;hash_abierto;user_id;60000;0.009348500
1;auspol2019;hash_abierto;user_id;70000;0.009731200
1;auspol2019;hash_abierto;user_id;80000;0.010100700
1;auspol2019;hash_abierto;user_id;90000;0.010436700
1;auspol2019;hash_abierto;user_id;100000;0.010754000
1;auspol2019;hash_abierto;user_id;110000;0.011032700
1;auspol2019;hash_abierto;user_id;120000;0.011311500
1;auspol2019;hash_abierto;user_id;130000;0.011613200
1;auspol2019;hash_abierto;user_id;140000;0.011873000
1;auspol2019;hash_abierto;user_id;150000;0.012252600
1;auspol2019;hash_abierto;user_id;160000;0.012686500
1;auspol2019;hash_abierto;user_id;170000;0.013069800
1;auspol2019;hash_abierto;user_id;180000;0.013377100
1;auspol2019;hash_abierto;screen_name;10000;0.003047300
1;auspol2019;hash_abierto;screen_name;20000;0.007787300
1;auspol2019;hash_abierto;screen_name;30000;0.008836100
1;auspol2019;hash_abierto;screen_name;40000;0.009609200
1;auspol2019;hash_abierto;screen_name;50000;0.010643100
1;auspol2019;hash_abierto;screen_name;60000;0.016940000
1;auspol2019;hash_abierto;screen_name;70000;0.017828200
1;auspol2019;hash_abierto;screen_name;80000;0.018905000
1;auspol2019;hash_abierto;screen_name;90000;0.019789000
1;auspol2019;hash_abierto;screen_name;100000;0.021648600
1;auspol2019;hash_abierto;screen_name;110000;0.022954200
1;auspol2019;hash_abierto;screen_name;120000;0.023929000
1;auspol2019;hash_abierto;screen_name;130000;0.024738500
1;auspol2019;hash_abierto;screen_name;140000;0.025386400
1;auspol2019;hash_abierto;screen_name;150000;0.026309500
1;auspol2019;hash_abierto;screen_name;160000;0.027433600
1;auspol2019;hash_abierto;screen_name;170000;0.028430700
1;auspol2019;hash_abierto;screen_name;180000;0.029268700
1;auspol2019;hash_cerrado_linear;user_id;10000;0.001166300
1;auspol2019;hash_cerrado_linear;user_id;20000;0.002129100
1;auspol2019;hash_cerrado_linear;user_id;30000;0.002496400
1;auspol2019;hash_cerrado_linear;user_id;40000;0.002958600
1;auspol2019;hash_cerrado_linear;user_id;50000;0.003323500
1;auspol2019;hash_cerrado_linear;user_id;60000;0.005446300
1;auspol2019;hash_cerrado_linear;user_id;70000;0.005908000
1;auspol2019;hash_cerrado_linear;user_id;80000;0.006277700
1;auspol2019;hash_cerrado_linear;user_id;90000;0.006580100
1;auspol2019;hash_cerrado_linear;user_id;100000;0.006855700
1;auspol2019;hash_cerrado_linear;user_id;110000;0.007128200
1;auspol2019;hash_cerrado_linear;user_id;120000;0.007388100
1;auspol2019;hash_cerrado_linear;user_id;130000;0.007659000
1;auspol2019;hash_cerrado_linear;user_id;140000;0.007901800
1;auspol2019;hash_cerrado_linear;user_id;150000;0.008211200
1;auspol2019;hash_cerrado_linear;user_id;160000;0.008589100
1;auspol2019;hash_cerrado_linear;user_id;170000;0.008922800
1;auspol2019;hash_cerrado_linear;user_id;180000;0.009193500
1;auspol2019;hash_cerrado_linear;screen_name;10000;0.002704700
1;auspol2019;hash_cerrado_linear;screen_name;20000;0.006224600
1;auspol2019;hash_cerrado_linear;screen_name;30000;0.007000800
1;auspol2019;hash_cerrado_linear;screen_name;40000;0.007611500
1;auspol2019;hash_cerrado_linear;screen_name;50000;0.008245900
1;auspol2019;hash_cerrado_linear;screen_name;60000;0.011979600
1;auspol2019;hash_cerrado_linear;screen_name;70000;0.012711700
1;auspol2019;hash_cerrado_linear;screen_name;80000;0.013468200
1;auspol2019;hash_cerrado_linear;screen_name;90000;0.014014900
1;auspol2019;hash_cerrado_linear;screen_name;100000;0.014550800
1;auspol2019;hash_cerrado_linear;screen_name;110000;0.015061200
1;auspol2019;hash_cerrado_linear;screen_name;120000;0.015579400
1;auspol2019;hash_cerrado_linear;screen_name;130000;0.016084100
1;auspol2019;hash_cerrado_linear;screen_name;140000;0.016565900
1;auspol2019;hash_cerrado_linear;screen_name;150000;0.017151100
1;auspol2019;hash_cerrado_linear;screen_name;160000;0.017861900
1;auspol2019;hash_cerrado_linear;screen_name;170000;0.018516700
1;auspol2019;hash_cerrado_linear;screen_name;180000;0.019069600
1;auspol2019;hash_cerrado_quadratic;user_id;10000;0.001409200
1;auspol2019;hash_cerrado_quadratic;user_id;20000;0.002542400
1;auspol2019;hash_cerrado_quadratic;user_id;30000;0.002916200
1;auspol2019;hash_cerrado_quadratic;user_id;40000;0.003264100
1;auspol2019;hash_cerrado_quadratic;user_id;50000;0.003612700
1;auspol2019;hash_cerrado_quadratic;user_id;60000;0.005788800
1;auspol2019;hash_cerrado_quadratic;user_id;70000;0.006701900
1;auspol2019;hash_cerrado_quadratic;user_id;80000;0.007368400
1;auspol2019;hash_cerrado_quadratic;user_id;90000;0.007846200
1;auspol2019;hash_cerrado_quadratic;user_id;100000;0.008261300
1;auspol2019;hash_cerrado_quadratic;user_id;110000;0.008675900
1;auspol2019;hash_cerrado_quadratic;user_id;120000;0.009258000
1;auspol2019;hash_cerrado_quadratic;user_id;130000;0.009705900
1;auspol2019;hash_cerrado_quadratic;user_id;140000;0.010160600
1;auspol2019;hash_cerrado_quadratic;user_id;150000;0.010727600
1;auspol2019;hash_cerrado_quadratic;user_id;160000;0.011408500
1;auspol2019;hash_cerrado_quadratic;user_id;170000;0.011942300
1;auspol2019;hash_cerrado_quadratic;user_id;180000;0.012319700
1;auspol2019;hash_cerrado_quadratic;screen_name;10000;0.004590700
1;auspol2019;hash_cerrado_quadratic;screen_name;20000;0.011753500
1;auspol2019;hash_cerrado_quadratic;screen_name;30000;0.013307800
1;auspol2019;hash_cerrado_quadratic;screen_name;40000;0.015405600
1;auspol2019;hash_cerrado_quadratic;screen_name;50000;0.016595700
1;auspol2019;hash_cerrado_quadratic;screen_name;60000;0.024412100
1;auspol2019;hash_cerrado_quadratic;screen_name;70000;0.026202100
1;auspol2019;hash_cerrado_quadratic;screen_name;80000;0.027939700
1;auspol2019;hash_cerrado_quadratic;screen_name;90000;0.029341800
1;auspol2019;hash_cerrado_quadratic;screen_name;100000;0.030713300
1;auspol2019;hash_cerrado_quadratic;screen_name;110000;0.032447600
1;auspol2019;hash_cerrado_quadratic;screen_name;120000;0.034043000
1;auspol2019;hash_cerrado_quadratic;screen_name;130000;0.035213000
1;auspol2019;hash_cerrado_quadratic;screen_name;140000;0.036112900
1;auspol2019;hash_cerrado_quadratic;screen_name;150000;0.037209900
1;auspol2019;hash_cerrado_quadratic;screen_name;160000;0.038813800
1;auspol2019;hash_cerrado_quadratic;screen_name;170000;0.040519900
1;auspol2019;hash_cerrado_quadratic;screen_name;180000;0.041550900
1;auspol2019;hash_cerrado_double;user_id;10000;0.001122600
1;auspol2019;hash_cerrado_double;user_id;20000;0.002165700
1;auspol2019;hash_cerrado_double;user_id;30000;0.002585800
1;auspol2019;hash_cerrado_double;user_id;40000;0.002999400
1;auspol2019;hash_cerrado_double;user_id;50000;0.003429500
1;auspol2019;hash_cerrado_double;user_id;60000;0.005495100
1;auspol2019;hash_cerrado_double;user_id;70000;0.005862300
1;auspol2019;hash_cerrado_double;user_id;80000;0.006468100
1;auspol2019;hash_cerrado_double;user_id;90000;0.006869700
1;auspol2019;hash_cerrado_double;user_id;100000;0.007264300
1;auspol2019;hash_cerrado_double;user_id;110000;0.007586000
1;auspol2019;hash_cerrado_double;user_id;120000;0.007900700
1;auspol2019;hash_cerrado_double;user_id;130000;0.008217200
1;auspol2019;hash_cerrado_double;user_id;140000;0.008523900
1;auspol2019;hash_cerrado_double;user_id;150000;0.008888700
1;auspol2019;hash_cerrado_double;user_id;160000;0.009326300
1;auspol2019;hash_cerrado_double;user_id;170000;0.009725500
1;auspol2019;hash_cerrado_double;user_id;180000;0.010065700
1;auspol2019;hash_cerrado_double;screen_name;10000;0.002328500
1;auspol2019;hash_cerrado_double;screen_name;20000;0.005051600
